customerid,creditscore,balance,numofproducts,hascrcard,isactivemember
15634602,619,0.0,1,1,1
15647311,608,83807.86,1,0,1
15619304,502,159660.8,3,1,0
15701354,699,0.0,2,0,0
15737888,850,125510.82,1,1,1
15574012,645,113755.78,2,1,0
15592531,822,0.0,2,1,1
15656148,376,115046.74,4,1,0
15792365,501,142051.07,2,0,1
15592389,684,134603.88,1,1,1
15767821,528,102016.72,2,0,0
15737173,497,0.0,2,1,0
15632264,476,0.0,2,1,0
15691483,549,0.0,2,0,0
15600882,635,0.0,2,1,1
15643966,616,143129.41,2,0,1
15737452,653,132602.88,1,1,0
15788218,549,0.0,2,1,1
15661507,587,0.0,1,0,0
15568982,726,0.0,2,1,1
15577657,732,0.0,2,1,1
15597945,636,0.0,2,1,0
15699309,510,0.0,1,1,0
15725737,669,0.0,2,0,1
15625047,846,0.0,1,1,1
15738191,577,0.0,2,0,1
15736816,756,136815.64,1,1,1
15700772,571,0.0,2,0,0
15728693,574,141349.43,1,1,1
15656300,411,59697.17,2,1,1
15589475,591,0.0,3,1,0
15706552,533,85311.7,1,0,1
15750181,553,110112.54,2,0,0
15659428,520,0.0,2,1,1
15732963,722,0.0,2,1,1
15794171,475,134264.04,1,1,0
15788448,490,145260.23,1,0,1
15729599,804,76548.6,1,0,1
15717426,850,0.0,1,1,1
15585768,582,70349.48,2,0,1
15619360,472,0.0,1,1,0
15738148,465,122522.32,1,0,0
15687946,556,117419.35,1,1,1
15755196,834,131394.56,1,0,0
15684171,660,155931.11,1,1,1
15754849,776,109421.13,2,1,1
15602280,829,112045.67,1,1,1
15771573,637,137843.8,1,1,1
15766205,550,103391.38,1,0,1
15771873,776,103769.22,2,1,0
15616550,698,116363.37,2,1,0
15768193,585,146050.97,2,0,0
15683553,788,0.0,2,0,0
15702298,655,125561.97,1,0,0
15569590,601,98495.72,1,1,0
15760861,619,125211.92,1,1,1
15630053,656,127864.4,1,1,0
15647091,725,75888.2,1,0,0
15623944,511,0.0,1,1,0
15804771,614,40685.92,1,1,1
15651280,742,136857.0,1,0,0
15773469,687,152328.88,2,0,0
15702014,555,56084.69,2,0,0
15751208,684,78707.16,1,1,1
15592461,603,109166.37,1,1,1
15789484,751,169831.46,2,1,1
15696061,581,101633.04,1,1,0
15641582,735,123180.01,2,1,1
15638424,661,150725.53,2,0,1
15755648,675,98373.26,1,1,0
15703793,738,133745.44,4,1,0
15620344,813,0.0,1,1,0
15812518,657,163607.18,1,0,1
15779052,604,157780.84,2,1,1
15770811,519,0.0,2,0,1
15780961,735,178718.19,2,1,0
15614049,664,0.0,2,1,1
15662085,678,0.0,1,1,1
15575185,757,77253.22,1,0,1
15803136,416,122189.66,2,1,0
15706021,665,96645.54,2,0,0
15663706,777,0.0,1,1,0
15641732,543,0.0,2,0,0
15701164,506,90307.62,1,1,1
15738751,493,0.0,2,1,0
15805254,652,0.0,2,1,1
